event,aventureiro,cult,geek,hipster,praieiro,turista,underground,zeen,resumo
1º Ciclo De Marketing: Pesquisa de Marketing no ambiente digital,0,0,0,0,0,0,0,0,0
30º Café com Consultores da ABCO Porto Alegre,0,0,0,0,0,0,0,0,0
7ª Feira Brasileira do Varejo,0,0,0,0,0,0,0,0,0
Abertura da exposição Homo Machina - esculturas de Paulo Favalli,0,1,1,1,0,0,0,0,3
Alma Lusitana no Cisne Branco - 2ª edição 2019,0,0,0,0,0,0,0,0,0
Alquimia das Ervas,0,0,0,0,0,0,0,1,1
Andando nos Túneis de Salvador do Sul,1,0,0,0,0,0,0,0,1
Arduino Day 2019,0,0,1,0,0,0,0,0,1
As aventuras do pequeno príncipe | Sesc Canoas,0,1,0,0,0,0,0,0,1
As duas Irenes | Sesc Canoas,0,1,0,0,0,0,0,0,1
Asteróide | 5? Kino Beat,0,1,0,0,0,0,0,0,1
Através de Iberê | Francisco Dalcol + Frantz,0,1,0,0,0,0,0,0,1
AutenticaMente: Mindfulness Intermediário e Avançado,0,0,0,0,0,0,0,1,1
Beto Carrero World,0,0,0,0,0,1,0,0,1
Brincando de Todas as Artes - Criação livre para Crianças,0,1,0,0,0,0,0,0,1
Caminhada Noturna 2019,1,0,0,0,0,0,0,0,1
Carnaval de Rua do Bloco da Diversidade,0,0,0,1,0,0,0,0,1
Carnaval Underground II,0,0,0,0,0,0,1,0,1
"CASCATA DA PEDRA BRANCA, POÇO DOS MORCEGOS E POÇO DAS ANDORINHAS",1,0,0,0,0,0,0,0,1
Cerimônia de Oferenda de Lamparinas,0,0,0,0,0,0,0,1,1
Cerimônia Roda de Rapé,0,0,0,0,0,0,0,1,1
Cine Iberê| Cinema mudo com música ao vivo,0,1,0,0,0,0,0,0,1
Congregarh 2019 - Liderança Ágil no Mundo Complexo,,,,,,,,,0
Conversa com a artista Denise Gadelha,0,1,0,0,0,0,0,0,1
Curso Apometria Xamãnica,0,0,0,0,0,0,0,1,1
Curso de Formação em Barras de Access,0,0,0,0,0,0,0,1,1
Curso de Reiki Nivel 1 - O Despertar,0,0,0,0,0,0,0,1,1
Curso de Reiki Nível I,0,0,0,0,0,0,0,1,1
Curso DNA AVANÇADO THETAHEALING™ EM PORTO ALEGRE,0,0,0,0,0,0,0,1,1
Curso Fitocosmética,0,0,0,0,0,0,0,1,1
Curso Intensivo de Fotografia Híbrida - Mód.I,0,1,0,0,0,0,0,0,1
Desbravando Jaquirana,1,0,0,0,0,0,0,0,1
Desenvolva seu Potencial Criativo - Florianópolis,0,0,1,1,0,0,0,0,2
Design Your Life: na prática! - 5ª edição,0,0,1,0,0,0,0,0,1
Dia Internacional do Yoga,0,0,0,0,0,0,0,1,1
Eneagrama autoconhecimento de sua  essência,0,0,0,0,0,0,0,1,1
Espanhol com Arte,0,1,0,0,0,0,0,0,1
Exposição O auge e o abismo,0,1,0,0,0,0,0,0,1
Feira do Aeromovel 10ª ed. - 26/01,0,0,0,1,1,0,0,0,2
Feira do Vinil de Poa no Casa Azul - 20/01,0,1,0,0,0,0,0,0,1
Feira Vegana Noturna,0,0,0,1,0,0,0,0,1
Férias na Biblioteca | Sesc Canoas,0,1,0,0,0,0,0,0,1
Festa da Uva | Fernando e Sorocaba + Amado Batista,0,0,0,0,0,1,0,0,1
Festa da Uva | Zé Neto e Cristiano + Anitta,0,0,0,0,0,1,0,0,1
Festa Da Uva 2019 – Oficial,0,0,0,0,0,1,0,0,1
Festiqueijo,0,0,0,0,0,1,0,0,1
Festival de Cerveja e Gastronomia + La Movida Bazar & Artes,0,0,0,1,0,0,0,0,1
Festival Gaia - Sítio Terra Cristal,0,0,0,0,0,0,0,1,1
FICA Comitê - Financiamento Coletivo Autônomo e Festa de 9 anos,0,,,,,,,,0
Filtro dos Sonhos,0,,,,,,,,0
Formação - Métodos Ágeis para Gestão de Pessoas,0,,,,,,,,0
Frida Kahlo À Revolução! no 20º Porto Verão Alegre,0,1,0,1,0,0,0,0,2
Gamestorming - Os jogos tem muito a nos ensinar,0,0,1,0,0,0,0,0,1
Gramado Summit 2019,0,0,1,0,0,0,0,0,1
Hackatown Porto Alegre | Mobilidade,0,0,1,1,0,0,0,0,2
Harakiri (1962) no Capitólio,0,1,0,0,0,0,0,0,1
Historietas Assombradas | Sesc Canoas,0,1,0,0,0,0,0,0,1
Inauguração do coLIBRE Artístico,0,0,0,1,0,0,0,0,1
Independência financeira para mulheres l Roda de conversa,0,0,1,0,0,0,0,0,1
Introdução às Práticas de Meditação,0,0,0,0,0,0,0,1,1
Manual Prático da Mulher Moderna | Sesc Canoas,0,1,0,0,0,0,0,0,1
Meditação,0,0,0,0,0,0,0,1,1
"Meditação, Disciplina e Consciência Alimentar",0,0,0,0,0,0,0,1,1
Meetup #1 Mulheres de Produto (Porto Alegre),0,0,1,0,0,0,0,0,1
Mega Revel - Feira Cultural - Edição Férias Praça Júlio Mesquita,0,0,0,0,0,0,0,1,1
Meu dinheiro sumiu e agora? Controle para não ser controlado,0,0,1,0,0,0,0,0,1
Mindfulness no Pôr do Sol,0,0,0,0,0,0,0,1,1
Mostra Hayao Miyazaki | Sesc Canoas,0,1,0,0,0,0,0,0,1
Motofest Ceu Azul Pr,0,0,0,0,0,1,0,0,1
Mountain Do Praia do Rosa 2019,1,0,0,0,0,0,0,0,1
Música na Praça Estado de Israel,0,0,0,1,1,0,0,0,2
Nossa Irmã Mais Nova | Sesc Canoas,0,1,0,0,0,0,0,0,1
O Fantasma da Ópera : Excursão Oficial,0,1,0,0,0,0,0,0,1
"Oficina - Fotografia, cidade, história",0,1,0,1,0,0,0,0,2
Oficina de Invertidas,0,0,0,0,0,0,0,1,1
Oficinas de Verão 2019 @Cordas,0,0,0,0,0,0,0,0,0
Os Dois Gêmeos Venezianos | Sesc Canoas,0,1,0,0,0,0,0,0,1
Os homens do triângulo rosa no Porto Verão Alegre 2019,0,1,0,0,0,0,0,0,1
Palestra Informativa Gratuita Grupos de Estudos 2019,,,,,,,,,0
Picnic Cultural no Museu - Edição nº18,0,1,0,1,0,0,0,0,2
Pois é Vizinha | Sesc Canoas,0,1,0,0,0,0,0,0,1
Quer Surpreender o Mercado?,,,,,,,,,0
Quinta SWAG!,,,,,,,1,,1
Recepção De Srila Gurudev No RS!,,,,,,,,,0
Reiki I,0,0,0,0,0,0,0,1,1
RH Fora da Caixa: D I V E R S I D A D E,,,,,,,,,0
Rodada Empreendedora,,,,,,,,,0
Salto do Yucumã e Ametista do Sul,1,0,0,0,0,0,0,0,1
São José dos Ausentes | Páscoa 2019,1,0,0,0,0,0,0,0,1
Satsanga - História de Shiva,0,0,0,0,0,0,0,1,1
Se meu Ponto G falasse | Sesc Canoas,0,1,0,0,0,0,0,0,1
Seen Experience 2019,0,0,1,0,0,0,0,0,1
"SERRA DO RIO DO RASTRO, SERRA DO CORVO BRANCO,PIRÂMIDES SAGRADAS",1,0,0,0,0,0,0,0,1
"Sessão especial de ""Roma"" na Cinemateca Capitólio Petrobras",0,1,0,1,0,0,0,0,2
St. Patrick's Day,0,0,0,0,1,0,0,0,1
TOC Uma Comédia Obsessiva Compulsiva,0,1,0,0,0,0,0,0,1
Travessia Cassino x Chuí,1,0,0,0,0,0,0,0,1
Trekking Ninho das Águias 2019,1,0,0,0,0,0,0,0,1
Trekking Sítio Grünes Paradies 2019,1,0,0,0,0,0,0,0,1
Trilhas Ecológicas em Maquiné com a @triploverstur 13/01,1,0,0,0,0,0,0,0,1
TTT - Travessia Torres Tramandaí,1,0,0,0,0,0,0,0,1
Um Panorama Visto da Ponte em Porto Alegre/RS,,,,,,,,,0
Vivência Purificando os Pensamentos,0,0,0,0,0,0,0,1,1
Workshop - Bandhas,,,,,,,,,0
Workshop Design Thinking para o RH - 15ª edição,,,,,,,,,0
Workshop Os pilares para inovação em cooperativas - 2ª edição,,,,,,,,,0
Workshop: Empatia para Liderança Disruptiva.,0,0,0,0,0,0,0,1,1
Yoga no Parque Malwee,0,0,0,0,0,0,0,1,1
Serenata Iluminada,0,0,0,1,1,0,0,0,2
,,,,,,,,,0
,,,,,,,,,0
,13,28,11,13,3,6,2,24,100
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
